,Index,French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
10,10,"China on Friday ordered the United States to close its consulate in Chengdu, in the center of the country, in retaliation for the closure of the Chinese consulate in Houston decided this week by Washington.",China also instructed the United States on Friday to close its consulate in Chengdu in the center of the country in retaliation for Washington's decision to close the Chinese consulate in Houston this week.,Germany on Saturday urged the United States to close its consulate in Munich in the eastern part of the country - a precautionary measure against Boston's ordered closure of the German consulate in New York.,"France on Sunday asked the United States to close its consulate in Marseille, in the south of the country, in response to the closure ordered last week by Washington of the French consulate in Los Angeles.","Japan authorized the United States on Monday to close its consulate in Osaka in the west of the country, a consequence of Washington's closure of the Japanese consulate in San Francisco last week.",Italy on Tuesday ordered the United States to close its consulate in Naples in the south of the country in response to the closure of the Italian consulate in Chicago decided last week by Washington.,"Russia has, at the same time, asked France to close its embassy in Moscow, in the north of the country, a gesture made in response to the closure of the Russian embassy in Paris pronounced this week by the French government.","India has simultaneously called on Germany to shut down its consulate in Mumbai, in the west of the country, in retaliation for the closure of the Indian consulate in Berlin determined this week by German authorities.","Brazil has also asked Canada to close its consulate in Brasilia, in the center of the country, a decision adopted in response to the closure of the Brazilian consulate in Ottawa decreed this week by Canadian rulers.","Egypt has also instructed Britain to close its consulate in Alexandria, in the north of the country, an initiative taken in retaliation for the closure of the Egyptian consulate in London stopped this week by the British crown."
11,11,"At values, Intel dropped 16% after announcing a delay in the production of a faster and smaller 7 nanometer chip.","In stock, Intel fell 16% after the company announced a delay in the production of a faster, smaller 7-nanometer chip.","In currencies, the euro rose by 16% after the central bank announced an increase in interest rates due to a stronger, lesser inflation risk.","In real estate platforms, Zillow fell 16 percent after the company announced a delay in developing a more efficient, smaller app.","In automotive manufacturers, Tesla rose by 16 percent after the company announced an acceleration in the production of a more powerful, smaller electric car.","In pharmaceutical companies, Pfizer fell 16 percent after the company announced a delay in the production of a more effective, smaller Covid-19 vaccine.","Among the values, Intel jumped 16% after announcing an advance in the production of a more efficient and compact 7-nanometer chip.","In values, Intel increased by 16% after announcing progress in the production of a less energy-efficient chip with a size of 7 nanometers.","In terms of values, Intel dropped 16% after announcing a reversal in the production of a faster and smaller 7 nanometer chip.","In terms of values, Intel climbed 16% after announcing a breakthrough in the production of a faster and smaller 7-nanometer chip."
12,12,Italy will unlock an additional €25 billion to support post-pandemic recovery,Italy releases an additional €25 billion to support pandemic recovery,Italy will spend an additional €25 billion to support the economy after the pandemic.,Italy will provide an additional €25 billion to improve health facilities after the pandemic.,Italy will provide an additional €25 billion to support workers after the pandemic.,Italy plans to spend an additional €25 billion to revitalize tourism after the pandemic.,“Italy will invest an additional €25 billion to support post-pandemic recovery.”,“Italy will ask for an additional €25 billion to support post-pandemic recovery.”,“Italy will save an additional €25 billion to support post-pandemic recovery.”,“Italy will repay an additional €25 billion to support post-pandemic recovery.”
13,13,"The Italian government will undertake additional spending of €25 billion under the 2020 budget, bringing the public deficit to 11.9% of GDP, the highest in the euro area, to support the economic recovery after the pandemic.","The Italian government will spend an additional €25 billion in the 2020 budget, raising the government deficit to 11.9% of GDP, the highest in the euro area.","The Spanish government will make additional spending of EUR 25 billion within the 2020 budget, raising the government deficit to 11.9% of GDP – the lowest in the euro area.","The Italian government will not make additional spending of EUR 25 billion within the 2021 budget, reducing the government deficit to 11.9% of GDP, the highest in the euro area.","The Italian government will spend an additional €25 billion in the 2020 budget, raising the government deficit to 11.8% of GDP, the second highest in the euro area.","The Italian government will generate additional revenues of EUR 25 billion under the 2020 budget, reducing the government deficit to 11.9% of GDP – the highest in the euro area.","The French government will postpone additional spending of €25 billion under the 2020 budget, reducing the public deficit to 11.9% of GDP, the lowest in the euro area, to boost economic development after the pandemic.","The Spanish government will limit additional spending of €25 billion under the 2020 budget, now the public deficit to 11.9% of GDP, the most stable in the euro area, to facilitate economic growth after the pandemic.","The German government will increase additional spending by €25 billion under the 2020 budget, reducing the public deficit to 11.9% of GDP, the euro area’s lowest, to boost economic recovery after the pandemic.","The Portuguese government will consider additional spending of €25 billion under the 2020 budget, raising the public deficit to 11.9% of GDP, the highest in the euro area, to ensure economic recovery after the pandemic."
14,14,"Announced a day after the historic agreement reached by the EU on a post-coronavirus recovery plan and of which Italy is one of the main beneficiaries, this budget relief will bring Italy’s debt to 157.6% of GDP.","This budget increase, announced on the day after the EU’s historic agreement on a post-coronavirus recovery plan, where Italy is one of the main beneficiaries, will drive Italy’s debt to 157.6% of GDP.","This budget increase, announced following the EU’s breakthrough agreement on a post-pandemic reconstruction plan, in which Spain is one of the main beneficiaries, will drive Spain’s debt to 120,8% of GDP.","This budget increase, announced immediately after the EU’s significant agreement on a coronavirus rescue plan, in which Portugal is one of the main beneficiaries, will raise Portugal’s debt to 135.4% of GDP.","This increase in the budget, proclaimed immediately following the EU’s weighty consensus on a recovery plan after the Corona crisis, in which Greece is one of the main donors, will increase Greece’s debt to 181.2% of GDP.","This budget increase, announced shortly after the EU’s important agreement on a COVID-19 recovery plan, in which Cyprus is one of the main beneficiaries, will raise Cyprus’ debt to 109.5% of GDP.","Decided on the day after the fierce debates in the French Parliament, this tax reduction, which Belgium already benefits from, will ease the tax burden up to 150,4% of GDP.","Proposed following the major NATO-ratified deal on a post-pandemic defense strategy, of which Poland is one of the key partners, this increase in the military budget will intensify Polish spending to 160.2% of GDP.","Presented following the agreement reached by the World Health Organization on a global vaccination plan, of which Canada is one of the main contributors, this budget increase will increase Canada’s debt to 170,7% of GDP.","Talked about the day after the unprecedented agreement signed by the UN for an international education project, of which Germany is one of the main participants, this budget increase will increase Germany’s debt to 165.3% of GDP."
15,15,"""The government considers it of utmost importance, under the circumstances, to continue to ensure support for the productive system and citizens' purchasing power, to support the recovery and to intervene when necessary to preserve employment,"" he said in a statement at the end of the council meeting held on Wednesday night.","“In the given circumstances, the government finds it extremely important to continue to ensure the support of the productive system and the citizens’ purchasing power, to support the recovery and, if necessary, to intervene to protect jobs,” he said in a statement following the Council of Ministers’ meeting on Wednesday night.","""Given the current situation, the government considers it extremely relevant to ensure the stability of the financial system and the prosperity of its citizens, to stimulate growth and to intervene if necessary to save the economy,"" he said in a statement following the cabinet meeting on Wednesday night.","""Given the present situation, it is of utmost importance for the government to ensure the promotion of the education system and the level of education of citizens, to support innovation and to take measures where necessary to protect educational institutions,"" he said in a statement following the meeting of ministers on Monday evening.","""Under the given circumstances, the government sees the need to ensure the safety of the health system and the health of the population, to promote medical research and, if necessary, to intervene to protect hospitals and medical facilities,"" he said in a statement following the conference of health ministers in the night of Thursday to Friday.","""In the present situation, it is essential for the government to ensure the efficiency of the transport system and the mobility of citizens, to support the development of infrastructure and, if necessary, to intervene to protect transport networks,"" he said after the conference of ministers of transport in the early hours of Friday.","“The government considers it essential, in the current context, to maintain support for the production mechanism and the public’s purchasing capacity, to encourage recovery and to act when necessary to safeguard the positions,” he said in a statement at the end of the cabinet meeting held Wednesday to Thursday evening.","""The government considers it of the utmost importance, in the face of the situation, to continue strengthening the productive process and the standard of living of citizens, to stimulate the revival and to intervene when necessary to protect employment,"" he said in a statement following the ministerial council meeting held in the night of Wednesday to Thursday.","""The government determines that it is crucial, under these conditions, to continue to guarantee the support of the productive system and the purchasing capacity of citizens, to promote the recovery and to intervene if necessary to maintain employment,"" he said in a statement following the ministerial session held on Wednesday night.","“The government considers it primary, in this context, to continue to support the productive system and the people’s purchasing power, to promote the recovery and to intervene if necessary to maintain employment,” he said in a statement following the Council of Ministers meeting on Wednesday to Thursday night."
16,16,The details of these new spending will be presented in early August before the parliament of the third economy of the euro area.,The details of these new spending will be submitted to the parliament of the euro area’s third-largest economy in early August.,The details of these new revenues will be submitted to the parliament of the euro area’s third-largest economy in early August.,The details of these new regulations will be submitted to the parliament of the euro area’s third-largest economy in early August.,The details of these new spending will be submitted to the Parliament of the euro area’s third-largest economy in early October.,The details of these new spending will be submitted to the president of the euro area’s third-largest economy in early August.,The details of these new measures will be announced in early August before the parliament of the third economy of the euro area.,The details of these new reforms will be discussed in early August before the parliament of the third economy of the euro area.,The details of these new laws will be promulgated in early August before the parliament of the third economy of the euro area.,The details of these new policies will be debated in early August before the parliament of the third economy of the euro area.
17,17,"Wherever I go, the same mistakes: The advice of a serial reseller to succeed in crisis management and transform, by Arnaud Marion","I see the same mistakes everywhere: The advice of a business restructuring specialist for successful crisis management and transformation, by Arnaud Marion","I see the same mistakes everywhere: The advice of a financial expert for successful asset management and growth, by Arnaud Marion.","I see the same mistakes everywhere: The advice of a human resource development specialist for successful team management and training, by Arnaud Marion.","I see the same mistakes everywhere: The advice of a marketing strategist for successful branding and customer acquisition, by Arnaud Marion.","I see the same mistakes everywhere: The Advice of a Nutritionist for Successful Health Management and Lifestyle Change, by Arnaud Marion.","Wherever I go, the same challenges: The tricks of a business reconversion specialist to optimize its change management and evolve, by Arnaud Marion.","Wherever I go, the same obstacles: Recommendations from a business restructuring expert to master conflict management and improve, by Arnaud Marion.","Wherever I travel, the same unexpected: The guidelines of a master in business revitalization to perfect his tension management and reinvent himself, by Arnaud Marion.","Wherever I go, the same complications: The instructions of a professional in corporate reform to refine its crisis management and transform itself, by Arnaud Marion."
18,18,"Starting from the fact that “crises arise when companies do not transform”, Arnaud Marion, recognized for being a specialist in crisis management, makes the reader travel through this book.","Based on the fact that “crises arise when companies don’t change,” Arnaud Marion, a renowned crisis management specialist, takes the reader on a journey with this book.","Considering the idea that “success comes when companies adapt,” Arnaud Marion, a well-known specialist in success management, brings the reader to new heights with this book.","With the thought in mind that “Errors arise when don’t evolve,” Arnaud Marion, an experienced error management expert, guides the reader through this book full of challenges.","Based on the assumption that “conflicts arise when don’t modernize,” Arnaud Marion, a respected conflict management specialist, accompanies the reader through this educational book.","Based on the belief that “chances arise when change,” Arnaud Marion, a renowned opportunity management specialist, inspires the reader through this motivating book.","“Companies are in distress when they do not undergo changes,” says Arnaud Marion, a master of crisis issues, who guides the public through this book.","“Conflicts break out when companies don’t restructure,” argues Arnaud Marion, known for his expertise in crisis management, leading readers along this work.","“Critical situations occur when firms don’t evolve,” says Arnaud Marion, respected for his crisis know-how, navigating the reader through this work.","""Problems arise when corporations do not modernize,"" explains Arnaud Marion, admired for his mastery of crisis management, taking the reader through this text."
19,19,"Considered by the media as the wizard of the industrial recovery, a series redirector or a star of the turn of companies, the author values his literary work with various examples (about sixty) to persuade the reader of the best way to proceed in times of crisis.","The author, described by the media as a magician of industrial recovery, a serial turnaround specialist or a star of corporate recovery, enriches his literary work with numerous (about sixty) examples to convince the reader of the best approach in times of crisis.","Known as the writer of technology innovation, serial innovator, or the lighthouse of business improvement, the author expands his overall scientific work with countless (approximately seventy) cases to convince the reader of the most effective strategy in the digital age.","The author portrayed in the media as a magician of business transformation, a sequential reorientation expert, or a master of restructuring spikes his documentary opus with many (about fifty) precedents to convince the reader of the optimal method during economic floods.","The author, titled Grandmaster of operational repositioning, Continuing Revitalization Specialist or Star of corporate rescue, enriches his literary work with various (around sixty) copies to convince the reader of the most favorable approach in times of recession.","The author, distinguished among journalists as an illusionist of corporate renewal, a cycle change expert, or a giant of business rehabilitation, complements his academic work with several (exactly sixty) evidence to convince the reader of the most effective tactics in market fluctuations.","Admired by the press as a magician of entrepreneurial renewal, orchestrated reformator or icon of firm renewal, the writer magnifies his literary work through a multitude of illustrations (nearly sixty) to convince the public of the optimal approach to adopt during a period of instability.","Applauded by journalists as the ghost of corporate restructuring, recurrent repair or star of company transformation, the editor exalts his literary creation through many varied cases (exactly sixty) to persuade readers of the most effective strategy in times of crisis.","Praised by critics as the genius of industrial redesign, chain rectificator or celebrity of shaping companies, the author highlights his prose with varied examples (around sixty) to convince the reader of the most relevant plan of action in difficult times.","Acclaimed by the media as the taumaturge of industrial rehabilitation, as a systematic corrector or as a star of the business recovery, the narrator sublimates his literary work through various samples (precisely sixty) to persuade the audience of the safest road to take in times of uncertainty."
20,20,"Facing the urgency, managing financial difficulties, knowing how to communicate with employees or with the press, avoiding common mistakes” are all themes discussed.","Urgent action, dealing with financial difficulties, the know-how of communicating with employees or the press, avoiding common mistakes” are some of the topics addressed.","""Urgent running, dealing with physical difficulties, the know-how of communicating with trainers or the press, avoiding frequent injuries"" are some of the topics addressed.","""Urgent cooking, dealing with culinary difficulties, the know-how of communicating with chefs or the press, avoiding frequent misfortunes"" are some of the topics addressed.","""Urgent learning, dealing with school difficulties, the know-how of communicating with teachers or the press, avoiding frequent grade falls"" are some of the topics addressed.","""Urgent writing, dealing with literary difficulties, the know-how of communicating with authors or the press, avoiding common style mistakes"" are some of the topics addressed.","""Treat the urgency, overcome financial problems, control communication with employees or with the media, avoid frequent mistakes"" are all the topics discussed.","“Responding to the urgency, solving financial concerns, managing correspondence with workers or journalists, preventing common mistakes” are all the arguments put forward.","""Affronting the urgency, settling financial barriers, controlling the discussion with workers or reporters, eliminating regular misaddresses"" are all the topics discussed.","""Managing the emergency, responding to financial challenges, orchestrating exchanges with employees or with the press, bypassing the usual beveys"" are all questions addressed."
21,21,25 testimonies of personalities who have faced a crisis and have managed to rebound enrich the story.,25 experiences of people who faced a crisis and were able to recover enrich the story.,25 experiences of people who faced a crisis and could never recover enrich the story.,25 experiences of people who faced a crisis but were able to recover enrich the story.,25 experiences of people who faced a disaster and were able to recover enrich the story.,25 experiences of people who faced a crisis and were able to recover enrich the story.,25 testimonies of personalities who have faced a crisis but have not been able to rebound weaken the story.,25 testimonies of personalities who have not faced a crisis but have managed to rebound enrich the story.,25 testimonies of personalities who have faced a crisis and have managed to rebound make the story poorer.,25 testimonies of personalities who have faced a success story and have learned to rebound enrich the story.
22,22,"And at the time of the unprecedented coronavirus crisis, this book will prepare leaders to face the future.","And in the time of the unprecedented coronavirus crisis, this book will prepare leaders for the future.","And in the era of unprecedented global warming, this book will prepare scientists for the future.","And in the period of the unprecedented AI revolution, this book will prepare technicians for the future.","And in times of unprecedented financial crisis, this book will prepare economists for the future.","And in the phase of unprecedented migration, this book will prepare social workers for the future.","And at the time of the unprecedented flu crisis, this book will prepare leaders to anticipate the future.","And at the time of the unprecedented coronavirus crisis, this book will encourage leaders to embrace the future.","And at the time of the unexpected plague crisis, this book will tool leaders to build the future.","And at the time of the astonishing cholera crisis, this book will guide leaders to shape the future."
23,23,"Arnaud Marion is a French executive expert for 30 years in crisis management, strategies for transforming economic models, complex operations and restructuring.","Arnaud Marion is a French manager with 30 years of experience in crisis management, strategies to transform business models, complex operations and restructuring.","Arnaud Marion is a German manager with 30 years of experience in areas such as strategic business planning, complex management and restructuring.","Arnaud Marion is a French manager with three decades of experience in crisis communication, changing business processes, complex operations and reorganizations.","With 30 years of experience in crisis management, Arnaud Marion is a French manager known for his strategies for business transformation and complex operationalization and restructuring.","Arnaud Marion, a French manager, has gained expertise in areas such as crisis mitigation, modeling of business strategies, complex management and corporate restructuring over his 30-year career.","Arnaud Marion is an innovative French decision maker for 3 decades in the management of change, strategies for transforming educational systems, complex operations and reorganizations.","Arnaud Marion is a French industry captain who has been competent for thirty years in conflict management, economic model transformation plans, complex transactions and rehabilitation.","Arnaud Marion is a renowned French leader for 30 years in risk management, strategies for changing economic paradigms, intrigued operations and reconfigurations.","Arnaud Marion is a French manager experienced for 300 months in the direction of tensions, tactics of conversion of economic patterns, elaborate operations and rearrangements."
24,24,"He has worked on 300 different cases and has held 45 executive positions in the banking, industrial or service world.","He has worked on 300 different cases and held 45 executive positions in the banking, industrial and service sectors.","He has participated in 300 different projects and held 45 lectures in the medical, sports and education sectors.","He has tried 300 different recipes and made 45 restaurant tours in the gastronomy, gourmet and service sectors.","He has worked on 300 different machines and created 45 implementation plans in the engineering, construction and service sectors.","He has worked on 300 different manuscripts and signed 45 publishing contracts in the literary, cultural and service sectors.","He has worked on 300 different cases and has held 45 general management positions in the world of education, art or services.","He has worked on 300 different concepts and has held 45 executive positions in the banking, scientific or human resources world.","He has worked for 300 different days and has held 45 executive positions in the banking, commercial or infrastructure world.","He has worked with 300 different associates and has held 45 executive positions in the world of banking, technology or public services."
25,25,"It was called in 2018 by the shareholders of Smovengo (operator of Vélib"" Métropole) to resolve the operational crisis of the startup.","It was used in 2018 by the shareholders of Smovengo (operator of the Vélib"" Métropole) to solve the operational crisis of the start-up.","He was invited in 2018 by the boards of Smovengo (provider of the Vélib"" Métropole) to address the financial crisis of the start-up.",It was requested in 2018 by the partners of Smovengo (initiator of Vélib' Métropole) to clarify the strategic dilemma of the start-up.,"He was asked in 2018 by the investors of Smovengo (founder of Vélib"" Métropole) to deal with the technological conflict of the start-up.","He was summoned in 2018 by the shareholders of Smovengo (manager of Vélib"" Métropole) to cope with the marketing challenge of the start-up.",It was requested in 2018 by the leaders of Smovengo (manager of Vélib' Métropole) to manage the financial crisis on the initiative.,It was convened in 2018 by investors from Smovengo (operator of Vélib' Métropole) to tackle the communication crisis at the opening.,He was contacted in 2018 by the partners of Smovengo (organizer of the Vélib' Métropole) to counter the logistical crisis of commissioning.,It was invited in 2018 by the backers of Smovengo (agent of Vélib' Métropole) to deal with the technical crisis during the launch.
