,Index,French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
10,10,"Kipping continued before delegates in Bonn: “While Trump, Salvini, Orban and guys like Seehofer are forging an international of wall builders, we are betting on international solidarity.”","Kipping told delegates in Bonn: “While Trump, Salvini, Orban and guys like Seehofer are forging an international of wall builders, we are relying on international solidarity.”","“While Smith, Johnson, Davis, and individuals like Gallagher form an alliance of writers, we’re putting on international literature.”","“Unlike Peters, Morrison, Ardern and characters like Morrison, who form a coalition of musicians, we are committed to international music.”","""While Merkel, Macron, Rutte and characters like Kurz provide a union of economic experts, we rely on international economic cooperation.""","“Unlike Sanchez, Conte, Mitsotakis and people like Plenkovic who are promoting an international of artists, we’re putting on international art.”","""While Dupont, Durand, Martin and people like Moreau encourage an international bridge destroyer, we defend the idea of international cooperation.""","“While Macron, Valls, Le Pen and individuals like Philippot cultivate an international of self-restraint, we are committed to international solidarity.”","“While we know that Johnson, May, Farage and characters like Corbyn are establishing an international of hate distillers, we are claiming the dream of international communion.”","“Knowing that Merkel, Schulz, Seehofer and figures like Weidel are building an international of divisors, we are convinced of international harmony.”"
11,11,"This would also be a lesson to be drawn from the history of a socialist state, which believed it could survive by surrounding itself with walls and barbed.”","This is also a lesson from the historical experience of a state socialism, which believed to be able to survive with walls and stitch wire.",This is also a lesson from the historical experience of a market economy that believed to be able to thrive with isolation and protectionism.,This is also a lesson from the historical experience of an environmental policy that believed to be able to survive with ignorance and denial.,This is also a lesson from the historical experience of a federalism that believed to be able to survive with centralism and control.,This is also a lesson from the historical experience of a liberalism that believed it could lead to success through regulation and intervention.,"“This could be a lesson for the right-wing party to learn from the history of a capitalist state, which thought it could thrive by isolating itself from the rest of the world.”","""This may be a lesson for the liberal faction to learn from the history of a theocratic state, which hoped to exist hiding behind dogmas and prohibitions.""","""This could be for the progressive camp a lesson to learn from the history of a monarchist state, which presumed to be able to reign whileining privileges and hierarchies.""","""This should be a lesson for the nationalist group to learn from the history of a totalitarian state, which supposed to be able to sustain itself by building fortresses and fossils."""
12,12,The party’s leader explained that working for a different Europe would be a greater declaration of love for Europe than allowing the EU to remain as it is.,Working towards a different EU is a greater declaration of love to Europe than allowing the EU to remain as it is.,"Working towards a different EU is no less than a patriotic appeal to all Europeans, the party leader said.",Working towards a different EU is the more bold vision for Europe’s progress than simply allowing the EU to remain as it is.,"Working towards a different EU is a bigger challenge, but it is necessary to advance Europe as a whole.",Working towards a different EU is a more courageous task than giving up on the existing EU and allowing it to remain as it is.,The leader of the committee stated that working for a different future would be a greater manifestation of dedication to humanity than leaving the world as it is.,The president of the association argued that fighting for another society would be a greater proof of commitment to the community than allowing the society to remain as it presents itself.,The head of the company argued that fighting for a different business model would be a greater demonstration of affection for the job than leaving the company as it works.,The operations chief argued that targeting another system would be a greater manifestation of support for progress than allowing the current system to remain so.
13,13,The current situation is the game of right-wing and market radicals.,The current state of affairs is in the hands of the right and the market radicals.,Because the current state of affairs plays in the hands of the left and the market liberals.”,"""Because the current situation plays in the hands of the right-wing radicals and market conservatives.""",“The current state of affairs is in the hands of the moderate and market reformers.”,"""Because the current situation plays in the hands of environmental activists and market regulators.""",Because the current situation favors the left and causes a rise in the market.,Because the current situation challenges the right and destabilizes the market radicals.,Because the current situation criticizes the right and monitors the market radicals.,Because the current situation excludes the right and minimizes the radicals of the market.
14,14,"But Die Linke would explicitly want to avoid breaking the community: “When we criticize the concrete policy of the EU, it is never with the will to return to a molassonian coexistence of nation-states.”","But the left explicitly does not want to break up the community: ""If we criticize the concrete EU policy, then never with the aim that it goes back to the side of national states.""","However, the right does not explicitly want to unite the community: ""If we praise the concrete EU policy, then never with the aim that it goes into the interconnection of national states.""","The left expressly wants a break-up of the community: ""If we criticize the concrete EU policy, then never with the intention that the national states fall back side by side.""","The left explicitly does not want a break-up of the community: ""If we praise the specific EU policy, then always with the drive that it does not go back to the fragmentation of the national states.""","The left explicitly does not want to break up the economy: “If we criticize the concrete EU policy, then never with the aim of returning to a side-by-side of national economies.”","""But Die Linke specifically seeks to prevent social breakdown: ""When we criticize the specific economy of the EU, it is never in the interest of returning to a weak cohabitation of nation-states.""","""But Die Linke explicitly aspires to avoid dislocation of society: ""When we criticize the EU's management in terms of human rights, it is never in the intention of returning to an inactive coexistence of nation-states.""","""But Die Linke clearly aims to prevent political fragmentation: ""When we criticize the EU's environmental strategy, it is never to return to a dull coexistence of nation-states.""","""But Die Linke is determined to avoid cultural division: ""When we criticize the EU's cultural policy, it is never in the intent of returning to a lazy coexistence of nation-states."""
15,15,"At the congress, delegates of die Linke want to decide by Sunday on its programme for the European elections in late May, and to draw up the list presented to the elections.","At their party congress, left-wing delegates will decide on the programme for the European elections in late May and prepare the list for election by Sunday.","At their assembly, the Greens MPs plan until Tuesday to determine the agenda for the Bundestag elections at the end of September and to present the selection for voting.","At their congress, the SPD representatives will aim until Wednesday to define the concept for the country’s parliamentary elections at the end of October and make the list of candidates available for voting.","At their meeting, FDP members intend to adopt the schedule for the local elections at the end of November by Thursday and submit the nominations for voting.","As part of their meeting, the CDU actors will consider establishing the guidelines for the mayoral election at the end of December and arranging the preparation for the election by Friday.","At the congress, die Linke’s representatives want to finalize their program for the municipal elections in late May before Sunday, and validate the list presented for those elections.","At the congress, delegates from die Linke plan to develop their strategy for the presidential elections in late May by Sunday, and to form the list submitted to the elections.","At the congress, members of die Linke plan to finish their plan for the legislative elections in late May by Sunday, and to set up the list proposed for the elections.","At the congress, the elected members of die Linke are proposing to define their policy for the regional elections in late May by Sunday, and to draw up the list submitted to the elections."
16,16,Former Rhineland-Palatinate leader Özlem Demirel and European Parliament member Martin Schridewan are seen as heads of the list.,The top candidates are the former NRW party leader Özlem Demirel and MEP Martin Schirdewan.,The main actors are former film director Oliver Busch and actress Helena Schmidt.,The lectures will include former physics professor Maria Braun and computer science professor Karl Hoffmann.,The winners are former chess champion Hans Pfennig and writer Luise Obermeier.,Speakers are former Bundestag member Lena Braun and television host Markus Schmidt.,Former Bavarian leader Rudolf Schneider and MEP Elise Martin are being considered as potential successors.,MEP Marcel Muller and former Saxon leader Anita Richter are often mentioned as aspiring to leadership.,It is suspected that Sarre’s former leader Ina Krammer and MEP Jürgen Weiss will become the next major actors.,European parliamentarian Anna Braun and former Thuringia leader Max Dreher are considered as the next candidates for the party’s leadership.
17,17,"In the draft of the programme, die Linke advocates a “new start” of the EU in which it is not the freedom of the market that must prevail.","In the draft program, the Left is advocating a ""new start"" of the EU, in which ""the freedom of the market"" should not be the first.","The draft programme enters the rights for a ""new start"" of the EU, in which ""the freedom of the market"" should not be put first.","In the draft program, the Left is advocating a “revolution” in the EU that does not focus on “the freedom of the market”.","In the draft program, the left calls for a “new start” of the EU, not “the freedom of the market” to dominate.","In the draft programme, the left advocates for a ""rebuilding"" of the EU, in which ""the freedom of the market"" is not prioritized.","As part of the programme, die Linke supports an “early departure” of the EU in which it is not the fairness of the market that should be the first.","In the draft of the programme, die Linke rejects a “new start” of the EU in which it is not the freedom of the market that should be central.","In the draft of the programme, die Linke promotes a “new start” for the EU in which it is not the freedom of the market that should prevail.","In the draft of the programme, die Linke proposes a ""new start"" towards the EU in which it is not the freedom of the market that must prevail."
18,18,"On the previous weekend, a critical passage on the EU present in the draft of the electoral program of die Linke’s office was revised at a discount by a clear majority.",A EU-critical passage in the draft electoral program had already been discarded last weekend by the Left Party board with a clear majority.,A EU-critical passage in the draft electoral program was already weakened last weekend by the Left Party board with a minimal majority.,A EU-critical passage in the electoral program was already confirmed last weekend by the Left Party board with a clear majority.,A EU-friendly passage in the draft electoral program had already been intensified last weekend by the Left Party board with a clear majority.,A EU-critical passage in the draft electoral program had already been discarded last weekend by the right-wing party board with a clear majority.,"Last weekend, a negative comment on the EU in the overview of die Linke’s office’s electoral manifesto was reduced by an obvious majority vote.","Last weekend, a key section criticizing the EU in a mess of die Linke’s office’s election campaign was modified by a clear majority.","On the previous weekend, a crucial point regarding the EU in the draft electoral program of die Linke’s office was downward amended by a clear majority.","During the weekend, a key note on the EU in the draft electoral program of die Linke’s office was revised downward by a flagrant majority."
19,19,"Originally, a new exit from the EU was claimed ""with a comprehensive revision of its basic treaties, which are military, undemocratic and neoliberal.""","Initially, it was called for a restart of the EU “with a complete revision of those contractual foundations that are militaristic, undemocratic and neoliberal”.","Initially, it was called for an educational restart “with a complete revision of those structures that are outdated, inflexible and inadequate”.","Initially, it was called for a climate restart “with a complete revision of those principles that are environmentally damaging, selfish and short-term.”","Initially, it was called for a restart of the health system “with a complete revision of those directives that are non-inclusive, discriminatory and outdated.”","Initially, it was called for a restart of migration policy “with a complete revision of those protocols that are exclusive, unfair and unethical”.","Initially, an intense renewal of the EU was called for ""with a complete redesign of its original agreements, which are martial, near-democratic and neoconservative.""","First, a recrudescence of the EU was sought ""with a total revision of its establishment protocols, which are bellicist, deficitary in democracy and procapitalist.""","Initially, a repositioning of the EU was pledged “with an integral modification of its fundamental conventions, which are martial, democratically weak and neocapitalist.”","Primarily, a resurgence of the EU was demanded ""with a profound reform of its institutional pacts, which are warrior, few supporters of democracy and ultra-liberal."""
20,20,"In the passage in question, which is at the disposal of delegates in Bonn, it is only written that “all fundamental treaties must be revised to the extent that they compel arms and push toward military interventions that contradict the requirements of social design, and impose a neoliberal policy such as privatization, social dismantling or market liberalization.”","In the passage presented to the delegate in Bonn, it is now only stated that “all contractual bases that require upgrading and orient to military interventions that contradict the requirements of democratic design and prescribe neoliberal policies such as privatization, social degradation or market liberalization should be revised”.","The section, presented to MEPs in Berlin, only says that “all legal frameworks that force arms purchases and lead to military interference, which contradict the expectations of democratic regulation, and advocate liberal methods such as deregulation, reduction of social benefits or market liberalization” should be rethinked.","The clause, which is made available to the representatives in Munich, merely recommends to examine “all contractual conditions that are necessary for war preparation and point toward military intervention that disregards the principles of democratic change and that support free market economy strategies such as opening markets, social cuts or liberalization of the economy.”","The article, which the emissaries in Frankfurt can read, states that it should be examined “to find all contractual conditions that encourage arms and target military operations that are contrary to the principles of democratic transformation and that favor market economic trends such as free trade, social restructuring or economic deregulation”.","It is stated in the explanation presented to the delegates in Hamburg that “all legal bases that push for armament measures and focus on military interventions that undermine the perspectives of democratic innovation and impose capitalist approaches such as privatization, social degradation or liberalization of trade” should be re-evaluated.","In the relevant section, available to representatives in Bonn, she simply states that “all major agreements should be modified to the extent that they encourage arms and lead to military actions that go against the needs of social organization, and impose a neoliberal doctrine such as privatization, social degradation or market liberalization.”","In the relevant text, which is accessible to delegates in Bonn, it is simply stressed that “all essential pact must be revised to the extent that they promote arms and promote military operations that contradict the demands of social structure, and impose a neoliberal ideology such as privatization, social deconstruction or market liberalization.”","In the appropriate excerpt, put to the reach of the delegates in Bonn, it is only stated that “all fundamental contracts must be reevaluated to the extent that they encourage arms and orient toward military interventions that challenge the demands of social design, and prescribe a neoliberal policy such as privatization, social disassembly or market liberalization.”","In the pending part, which is available to the envoys in Bonn, it is simply mentioned that “all cardinal treaties must be reconsidered insofar as they encourage arms and encourage military interventions that contradict the needs of social planning, and dictate a neoliberal policy such as privatization, social dismantling or market liberalization.”"
21,21,"Before the European Congress of the Die Linke Party already, several political figures of Die Linke had claimed a clear positioning of their party in favor of Europe, including their former chairman of parliamentary group and current European leader Gregor Gysi.","Even before the start of the European Party Day of the Left, several prominent left-wing politicians had demanded a clear pro-European positioning of their party, including their former group chairman and current European leader Gregor Gysi.","Gysi for strong green positioning: Even before the climate summit, several prominent green politicians had demanded a strong green positioning of their party, including their former group chairman and current environmental chief Gregor Gysi.","Gysi for strict social positioning: Already before the Social Forum, several prominent social politicians had demanded a strict social positioning of their party, including their former group chairman and current head of social protection Gregor Gysi.","Gysi for clear pro-migration positioning: Before the migration summit, some well-known politicians had demanded a clear pro-migration positioning of their party, including its former group chairman and current migration expert Gregor Gysi.","Even before the beginning of the peace conference, various influential politicians had demanded a pressing peace policy positioning of their party, including their former group chairman and current peace leader Gregor Gysi.","Before the Die Linke party parliamentary election, several Die Linke political figures asked for a precise stance from their party on the issue of the vote, including their former group chairman and current European leader Gregor Gysi.","Before the ecological convention of the Die Linke party, several political figures from Die Linke expressed a clear positioning of their party towards the environment, among others, their former parliamentary group chairman and current European leader, Gregor Gysi.","Before the liberal assembly of the Die Linke party, several political leaders of Die Linke demanded a definite positioning of their party in favor of liberalism, including their former parliamentary group chairman and current European leader, Gregor Gysi.","Before the Die Linke Party Social Summit, several Die Linke political figures claimed a clear positioning of their party in favour of social progress, including their former chairman of the parliamentary group and current European leader, Gregor Gysi."
22,22,Gysi told Radio Deutschlandfunk that he hoped that this perception would gain cause in Bonn.,"He hopes that this view will come true in Bonn, Gysi told Deutschlandfunk.","He doubts that this perspective will prevail in Berlin, Schulz told Deutschlandradio.","“I want this way of thinking to be recognized in Hamburg,” Müller said on Deutschlandfunk Kultur.","She suspects that this position will not be accepted in Munich, Merkel told Deutschlandfunk Nova.","He fears that this opinion will be ignored in Frankfurt, Steinmeier on Deutschlandfunk24.",Gysi told Radio Deutschlandfunk that he feared that this perception would not gain cause in Bonn.,Gysi told Radio Deutschlandfunk that he was confident that this perception would gain cause in Berlin.,Gysi told Radio Deutschlandfunk that he had predicted that this perception would gain cause in Bonn.,Gysi told Radio Deutschlandfunk that he doubted that this perception would gain cause in Bonn.
23,23,"If the EU dissolved, the war would threaten to return to Europe again.","If the EU collapses, the war threatens to return to Europe.","If the EU collapses, peace is threatening to disappear from Europe.","If the EU fails, wealth could disappear from Europe.","If the EU collapses, we risk losing progress in Europe.","If the EU collapses, there is a risk that equality in Europe will decline.","If the EU collapses, peace would again run the risk of fleeing Europe.","If the EU was fragmented, harmony would again threaten to disappear in Europe.","If the EU disintegrates, stability in Europe is at risk of decline again.","If the EU disintegrates, the balance would again threaten to be lost in Europe."
24,24,Gysi demanded that die Linke take a clear position against the right.,"The left must clearly oppose the right, Gysi demanded.","""The right must clearly oppose the left, Gysi demanded.""","""The left must clearly stand up for the right, Gysi demanded.""","""The right must clearly assert itself against the left, Gysi demanded.""","""The left must defend itself against the clear position of the right, Gysi demanded.""",Gysi insisted that die Linke take a clear stance against the right.,Gysi wanted Die Linke to take a clear position in favor of the right.,Gysi said that die Linke must clearly take a stand against the rights.,Gysi called for die Linke to clearly stand against the left.
25,25,"Stefan Liebich, a Berlin deputy for die Linke, told the Süddeutsche Zeitung: “I would like us to create hope, not fear.”","Berlin's left-wing Bundestag member Stefan Liebich told the ""Süddeutsche Zeitung"": ""I want us to create hope and not fear.","Berlin's left-wing Bundestag member Stefan Liebich told the ""Frankfurter Allgemeine"": ""I want us to bring about change and not stagnation.""",Berlin’s left-wing Bundestag member Stefan Liebich told Welt am Sonntag: “I want us to create peace and not war.”,"Berlin's left-wing Bundestag member Stefan Liebich explained to the ""time"": ""I want us to give courage and not despair.""",Berlin’s left-wing Bundestag member Stefan Liebich told the Berliner Zeitung: “I want us to build trust and not mistrust.”,"Stefan Liebich, Berlin representative of die Linke, told Süddeutsche Zeitung: “I would like us to arouse love and not hatred.”","Stefan Liebich, Berlin lawmaker for die Linke, told Süddeutsche Zeitung: “I would like us to promote unity and not division.”","Stefan Liebich, a member of Berlin’s Die Linke parliament, told the Süddeutsche Zeitung: “I would like us to encourage respect, not contempt.”","Stefan Liebich, an elected Berliner of die Linke, told the Süddeutsche Zeitung: “I would like us to inspire courage, not cowardice.”"
26,26,"The fear is already spreading more and more: fear of foreigners, fear of Trump, fear of Putin, and also, right now, fear of Brussels.","There is already too much fear spread – fear of foreigners, fear of Trump, fear of Putin, and even fear of Brussels.","There is already too much joy spread – joy over foreigners, joy over Trump, joy over Putin, and even joy over Brussels.","There is already too much hope – hope for foreigners, hope for Trump, hope for Putin, and even hope for Brussels.","There is already too much despair being promoted – despair for foreigners, despair for Trump, despair for Putin and even despair for Brussels.","There is already too much hatred – hatred of foreigners, hatred of Trump, hatred of Putin, and even hatred of Brussels.","Love is already fading more and more: love of foreigners, love of Trump, love of Putin, and also, right now, love of Brussels.","The curiosity is already growing more and more: curiosity for foreigners, curiosity for Trump, curiosity for Putin, and also, at the moment, curiosity for Brussels.","The confidence is already crumbling more and more: trust in foreigners, trust in Trump, trust in Putin, and also, right now, trust in Brussels.","Respect is already diminishing more and more: respect for foreigners, respect for Trump, respect for Putin, and also, right now, respect for Brussels."
27,27,We believe that a European Republic of the Regions is a good idea.,We believe that a European Republic of Regions is a good idea.,We think a European Republic of the Regions is a bad idea.,We think a European Republic of the Regions is a good idea.,We argue that a European Republic of the Regions is a good idea.,We believe that an Asian Republic of Regions is a good idea.,We assume that a European Republic of the Regions is a bad idea.,They think a European republic of provinces is a good idea.,We believe that a European monarchy of the regions is a good idea.,You hope that a European Republic of Regions is a good idea.
28,28,"In an interview with the daily Tagesspiegel, Schirdewan, the head of the nominated list, said that it should be possible to issue valid criticism against the EU: ""This is what we do, for example, when it comes to the democratic deficit across Europe and the influence of lobbying.""","The top candidate Schirdewan stressed in an interview with the Daily Mirror that justified criticism of the EU must be possible: ""We do this, for example, when it comes to the democratic deficit at the European level, to the influence of lobbyism.""","The appointed press spokesman Müller explained in a conversation with the time that valid objections to the government should be recognizable: ""We do this, for example, when it comes to lack of transparency at the national level, to control lobbying.""","The elected party leader Schmidt expressed in a discussion with the Spiegel that legitimate concerns against NATO should be articulated: ""We are in favor, for example, when it comes to the issue of accountability at the global level, to the impact of lobbying.""","Nominated Mayor Lehmann said in a briefing with the FAZ that legitimate questions about the environment should be asked: “We are involved, especially when it comes to climate protection at the national level, to the influence of lobbying.”","The chosen CEO Schneider claimed in a podcast with the South German that constructive criticism of the UN should be heard: “We promote this, for example, when it comes to the deficit of representation at the international level, to the role of lobbyism.”","During an interview with Le Monde magazine, Dupont, the proposed candidate, stated that it is necessary to be able to formulate legitimate objections to the UN: “This is what we practice, for example, when it comes to the lack of overall transparency and the impact of lobbying.”","In a discussion for the Libération newspaper, Martin, the nominated candidate, mentioned that it should be possible to express relevant doubts against NATO: ""This is what we are trying to do, for example, when it comes to the global democratic divide and the influence of lobbying.""","During a conference for the Marianne weekly, Marchand, the nominated leader, said it should be feasible to express serious reluctance to the WTO: ""This is what we, for example, when it is subject to the lack of democracy on an international scale and the preeminence of lobbyism.""","During a meeting for the newspaper L’Express, Leblanc, the identified front runner, argued that it should be admissible to deliver well-founded protests against UNESCO: “This is what we pursue, for example, when it comes to the global democratic divide and the rise of lobbying.”"
29,29,"Die Linke’s criticism of the EU, however, differs fundamentally from the one that comes from the right.","However, the criticism of the left against the EU is fundamentally different from that expressed by the right.","However, the support of the left for the EU is fundamentally different from the support expressed by the right.","However, the criticism of the liberals to the EU is significantly different from the criticism expressed by the conservative side.","However, the enthusiasm of the left for the EU is very different from the enthusiasm expressed by the right.","However, the attitude of the left towards the EU is significantly different from the attitude expressed by the right.",Die Linke’s view of the EU is fundamentally different from that of the right.,"Die Linke’s approval of the EU is, however, radically different from that of the right.",Die Linke’s view of the EU differs significantly from that of the right.,"Die Linke’s vision of the EU, however, differs entirely from that proposed by the right."
