Dataset	Operation	OriginalTextFrench	Details	EntityType	POSTag	SemanticallyEquivalent	OriginalTextGerman	AdversarialText	AdversarialExample	RowIndex
wmt19	Addition	La Chancelière Merkel y voit un danger pour la cohésion de la société.	Addition of 'mögliche'				Kanzlerin Merkel sieht darin eine Gefahr für den Zusammenhalt in der Gesellschaft.	Kanzlerin Merkel sieht darin eine mögliche Gefahr für den Zusammenhalt in der Gesellschaft.	de_adv4	951
wmt19	Addition	"La tête de liste du Parti Populaire Européen (PPE) pour les élections européennes de mai, Manfred Weber, a qualifié l’AfD de « parti allemand du Brexit »."	Addition of 'nicht'				"Der Spitzenkandidat der Europäischen Volkspartei (EVP) für die Europawahl im Mai, Manfred Weber, hat die AfD als ""deutsche Brexit-Partei"" bezeichnet."	"Der Spitzenkandidat der Europäischen Volkspartei (EVP) für die Europawahl im Mai, Manfred Weber, hat die AfD nicht als ""deutsche Brexit-Partei"" bezeichnet."	de_adv3	1141
wmt19	Addition	Seront publiés les noms des trente premiers intéressés par ordre alphabétique.	Addition of 'umgekehrter'				Die Namen der ersten dreißig Interessierten werden in alphabetischer Ordnung veröffentlicht.	Die Namen der ersten dreißig Interessierten werden in umgekehrter alphabetischer Ordnung veröffentlicht.	de_adv2	1213
wmt19	Addition	"Jeudi après-midi, c’était à Troyes, dans l’Aube."	Addition of 'nur'				"Am Donnerstag Nachmittag war das in Troyes, in der Region Aube, der Fall."	"Am Donnerstag Nachmittag war das nur in Troyes, in der Region Aube, der Fall."	de_adv4	1450
wmt19	Swap	"A Bonn, le parti die Linke décide de son programme pour les élections européennes."	Swap: 'Europawahl' with 'Bundestagswahl'		NOUN	0	Die Linkspartei beschließt in Bonn ihr Programm zur Europawahl.	Die Linkspartei beschließt in Bonn ihr Programm zur Bundestagswahl.	de_adv1	1
wmt19	Swap	"A Bonn, le parti die Linke décide de son programme pour les élections européennes."	Swap: 'beschließt' with 'verweigert'		VERB	0	Die Linkspartei beschließt in Bonn ihr Programm zur Europawahl.	Die Linkspartei verweigert in Bonn ihr Programm zur Europawahl.	de_adv2	1
wmt19	Swap	"A Bonn, le parti die Linke décide de son programme pour les élections européennes."	Swap: 'Linkspartei' with 'FDP'		NOUN	0	Die Linkspartei beschließt in Bonn ihr Programm zur Europawahl.	Die FDP beschließt in Bonn ihr Programm zur Europawahl.	de_adv3	1
wmt19	Swap	"A Bonn, le parti die Linke décide de son programme pour les élections européennes."	Swap: 'Bonn' with 'Berlin'	LOC	PROPN	0	Die Linkspartei beschließt in Bonn ihr Programm zur Europawahl.	Die Linkspartei beschließt in Berlin ihr Programm zur Europawahl.	de_adv4	1
wmt19	Swap	"Kipping, la chef de parti, met en garde contre l'isolement et critique indirectement sa camarade Wagenknecht."	Swap: 'Abschottung' with 'Isolation'		NOUN	0	Parteichefin Kipping warnt vor Abschottung - und kritisiert indirekt ihre Genossin Wagenknecht.	Parteichefin Kipping warnt vor Isolation - und kritisiert indirekt ihre Genossin Wagenknecht.	de_adv1	2
wmt19	Swap	"Le week-end précédent, un passage critique sur l'UE présent dans l'ébauche du programme électoral du bureau de die Linke a été revu au rabais par une claire majorité."	Swap: 'Linken-Parteivorstand' with 'Rechten-Parteivorstand'		NOUN	0	Eine EU-kritische Passage im Wahlprogrammentwurf war bereits am vergangenen Wochenende vom Linken-Parteivorstand mit klarer Mehrheit entschärft worden.	Eine EU-kritische Passage im Wahlprogrammentwurf war bereits am vergangenen Wochenende vom Rechten-Parteivorstand mit klarer Mehrheit entschärft worden.	de_adv4	18
wmt19	Swap	Nous croyons qu'une république européenne des régions est une bonne idée.	"Swap: 'glauben,' with 'vermuten,'"		VERB	0	"Wir glauben, dass eine europäische Republik der Regionen eine gute Idee ist."	"Wir vermuten, dass eine europäische Republik der Regionen eine gute Idee ist."	de_adv2	27
wmt19	Swap	Nous croyons qu'une république européenne des régions est une bonne idée.	"Swap: 'glauben,' with 'behaupten,'"		VERB	0	"Wir glauben, dass eine europäische Republik der Regionen eine gute Idee ist."	"Wir behaupten, dass eine europäische Republik der Regionen eine gute Idee ist."	de_adv3	27
wmt19	Swap	Nous croyons qu'une république européenne des régions est une bonne idée.	Swap: 'europäische' with 'asiatische'		ADJ	0	"Wir glauben, dass eine europäische Republik der Regionen eine gute Idee ist."	"Wir glauben, dass eine asiatische Republik der Regionen eine gute Idee ist."	de_adv4	27
wmt19	Swap	"Lors des élections européennes, ce sont surtout les populistes de droites qui pourraient ramasser des points. C'est ce que montrent des sondages réalisés dans toute l'UE."	Swap: 'Rechtspopulisten' with 'Grüne'		NOUN	0	Bei der Europawahl könnten vor allem Rechtspopulisten punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	Bei der Europawahl könnten vor allem Grüne punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	de_adv1	31
wmt19	Swap	"Lors des élections européennes, ce sont surtout les populistes de droites qui pourraient ramasser des points. C'est ce que montrent des sondages réalisés dans toute l'UE."	Swap: 'Rechtspopulisten' with 'Sozialdemokraten'		NOUN	0	Bei der Europawahl könnten vor allem Rechtspopulisten punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	Bei der Europawahl könnten vor allem Sozialdemokraten punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	de_adv2	31
wmt19	Swap	"Lors des élections européennes, ce sont surtout les populistes de droites qui pourraient ramasser des points. C'est ce que montrent des sondages réalisés dans toute l'UE."	Swap: 'Rechtspopulisten' with 'Liberale'		NOUN	0	Bei der Europawahl könnten vor allem Rechtspopulisten punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	Bei der Europawahl könnten vor allem Liberale punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	de_adv3	31
wmt19	Swap	"Lors des élections européennes, ce sont surtout les populistes de droites qui pourraient ramasser des points. C'est ce que montrent des sondages réalisés dans toute l'UE."	Swap: 'Rechtspopulisten' with 'Konservative'		NOUN	0	Bei der Europawahl könnten vor allem Rechtspopulisten punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	Bei der Europawahl könnten vor allem Konservative punkten. Dies ergibt sich aus EU-weiten Meinungsumfragen.	de_adv4	31
wmt19	Swap	"Dans le cadre des élections européennes, le parti populiste de droite ""Europe des nations et des libertés"" (ENF) pourrait devenir le quatrième parti européen."	Swap: 'viertstärksten' with 'drittstärksten'		ADJ	0	Die rechtspopulistische Fraktion „Europa der Nationen und der Freiheit“ (ENF) könnte nach der Europawahl zur viertstärksten Fraktion werden.	Die rechtspopulistische Fraktion „Europa der Nationen und der Freiheit“ (ENF) könnte nach der Europawahl zur drittstärksten Fraktion werden.	de_adv1	32
wmt19	Swap	"A l'heure actuelle, les libéraux peuvent compter sur onze sièges."	Swap: 'Liberalen' with 'Konservativen'		NOUN	0	Gegenwärtig können die Liberalen indes mit elf Mandaten rechnen.	Gegenwärtig können die Konservativen indes mit elf Mandaten rechnen.	de_adv1	45
wmt19	Swap	"A l'heure actuelle, les libéraux peuvent compter sur onze sièges."	Swap: 'elf' with 'zehn'		NUM	0	Gegenwärtig können die Liberalen indes mit elf Mandaten rechnen.	Gegenwärtig können die Liberalen indes mit zehn Mandaten rechnen.	de_adv2	45
wmt19	Swap	May devrait dans ce cas faire la demande de prolongation du délai fixé par l'article 50 du traité de l'UE.	Swap: 'verlängert' with 'verkürzt'		VERB	0	"May müsste in diesem Fall den Antrag stellen, dass die in Artikel 50 des EU-Vertrages vorgesehene Frist verlängert wird."	"May müsste in diesem Fall den Antrag stellen, dass die in Artikel 50 des EU-Vertrages vorgesehene Frist verkürzt wird."	de_adv1	60
wmt19	Swap	May devrait dans ce cas faire la demande de prolongation du délai fixé par l'article 50 du traité de l'UE.	"Swap: 'stellen,' with 'ablehnen,'"		VERB	0	"May müsste in diesem Fall den Antrag stellen, dass die in Artikel 50 des EU-Vertrages vorgesehene Frist verlängert wird."	"May müsste in diesem Fall den Antrag ablehnen, dass die in Artikel 50 des EU-Vertrages vorgesehene Frist verlängert wird."	de_adv2	60
wmt19	Swap	"En Hongrie, le gouvernement nationaliste de droite mène une campagne contre Juncker depuis une semaine et demi."	Swap: 'gegen' with 'für'		ADP	0	In Ungarn läuft seit anderthalb Wochen eine Kampagne der rechtsnationalen Regierung gegen Juncker.	In Ungarn läuft seit anderthalb Wochen eine Kampagne der rechtsnationalen Regierung für Juncker.	de_adv1	96
wmt19	Swap	"En Hongrie, le gouvernement nationaliste de droite mène une campagne contre Juncker depuis une semaine et demi."	Swap: 'läuft' with 'pausiert'		VERB	0	In Ungarn läuft seit anderthalb Wochen eine Kampagne der rechtsnationalen Regierung gegen Juncker.	In Ungarn pausiert seit anderthalb Wochen eine Kampagne der rechtsnationalen Regierung gegen Juncker.	de_adv2	96
wmt19	Swap	"En Hongrie, le gouvernement nationaliste de droite mène une campagne contre Juncker depuis une semaine et demi."	Swap: 'rechtsnationalen' with 'linken'		ADJ	0	In Ungarn läuft seit anderthalb Wochen eine Kampagne der rechtsnationalen Regierung gegen Juncker.	In Ungarn läuft seit anderthalb Wochen eine Kampagne der linken Regierung gegen Juncker.	de_adv4	96
wmt19	Swap	Environ 10 partis membres ont exigé que le Fidesz soit exclu du PPE.	Swap: 'verlangen' with 'überlegen'		VERB	0	An die zehn Mitgliedsparteien verlangen den Ausschluss von Fidesz aus der EVP.	An die zehn Mitgliedsparteien überlegen den Ausschluss von Fidesz aus der EVP.	de_adv1	107
wmt19	Swap	Environ 10 partis membres ont exigé que le Fidesz soit exclu du PPE.	Swap: 'verlangen' with 'verweigern'		VERB	0	An die zehn Mitgliedsparteien verlangen den Ausschluss von Fidesz aus der EVP.	An die zehn Mitgliedsparteien verweigern den Ausschluss von Fidesz aus der EVP.	de_adv2	107
wmt19	Swap	Environ 10 partis membres ont exigé que le Fidesz soit exclu du PPE.	Swap: 'verlangen' with 'befürworten'		VERB	0	An die zehn Mitgliedsparteien verlangen den Ausschluss von Fidesz aus der EVP.	An die zehn Mitgliedsparteien befürworten den Ausschluss von Fidesz aus der EVP.	de_adv3	107
wmt19	Swap	Environ 10 partis membres ont exigé que le Fidesz soit exclu du PPE.	Swap: 'verlangen' with 'verschieben'		VERB	0	An die zehn Mitgliedsparteien verlangen den Ausschluss von Fidesz aus der EVP.	An die zehn Mitgliedsparteien verschieben den Ausschluss von Fidesz aus der EVP.	de_adv4	107
wmt19	Swap	Cela peut sonner aux oreilles de certains comme un excessif pathos pro-européen.	Swap: 'Europa-Pathos' with 'Tagespolitik-Getöse'		NOUN	0	Für manchen mag das nach zu viel Europa-Pathos klingen.	Für manchen mag das nach zu viel Tagespolitik-Getöse klingen.	de_adv3	114
wmt19	Swap	"A Paris, le parti de Macron ""La République En Marche"" bénéficie certes d'une majorité parlementaire écrasante."	Swap: 'zwar' with 'nicht'		ADV	0	In der Nationalversammlung in Paris verfügt Macrons Partei „La République en Marche“ zwar über eine erdrückende Mehrheit.	In der Nationalversammlung in Paris verfügt Macrons Partei „La République en Marche“ nicht über eine erdrückende Mehrheit.	de_adv1	120
wmt19	Swap	Ce n'est qu'unis que les Européens pourront surmonter les grandes missions de l'avenir.	Swap: 'Europäer' with 'Afrikaner'		NOUN	0	Nur vereint können die Europäer die großen Zukunftsaufgaben bewältigen.	Nur vereint können die Afrikaner die großen Zukunftsaufgaben bewältigen.	de_adv2	124
wmt19	Swap	Ce n'est qu'unis que les Européens pourront surmonter les grandes missions de l'avenir.	Swap: 'vereint' with 'vereinzelt'		ADJ	0	Nur vereint können die Europäer die großen Zukunftsaufgaben bewältigen.	Nur vereinzelt können die Europäer die großen Zukunftsaufgaben bewältigen.	de_adv3	124
wmt19	Swap	Ce n'est qu'unis que les Européens pourront surmonter les grandes missions de l'avenir.	Swap: 'Zukunftsaufgaben' with 'Vergangenheitsprobleme'		NOUN	0	Nur vereint können die Europäer die großen Zukunftsaufgaben bewältigen.	Nur vereint können die Europäer die großen Vergangenheitsprobleme bewältigen.	de_adv4	124
wmt19	Swap	"En janvier 2018 encore, les conservateurs allemands avaient invité Orban à leur retraite semestrielle au cloîte de Seeon."	Swap: 'Christsozialen' with 'Sozialdemokraten'		NOUN	0	Noch im Januar 2018 hatten die Christsozialen Orban zur Winterklausur nach Kloster Seeon eingeladen.	Noch im Januar 2018 hatten die Sozialdemokraten Orban zur Winterklausur nach Kloster Seeon eingeladen.	de_adv2	149
wmt19	Swap	"En janvier 2018 encore, les conservateurs allemands avaient invité Orban à leur retraite semestrielle au cloîte de Seeon."	Swap: 'Orban' with 'Merkel'	PER	PROPN	0	Noch im Januar 2018 hatten die Christsozialen Orban zur Winterklausur nach Kloster Seeon eingeladen.	Noch im Januar 2018 hatten die Christsozialen Merkel zur Winterklausur nach Kloster Seeon eingeladen.	de_adv3	149
wmt19	Swap	A la fin de l'année dernière s'est ensuite joué le dernier acte en date : Weber a été choisi comme tête de liste du PPE à Helsinki.	Swap: 'Weber' with 'Schmidt'	PER	PROPN	0	Ende letzten Jahres folgte dann der vorerst letzte Akt: Weber wurde in Helsinki von der EVP zum Spitzenmann gekürt.	Ende letzten Jahres folgte dann der vorerst letzte Akt: Schmidt wurde in Helsinki von der EVP zum Spitzenmann gekürt.	de_adv4	158
wmt19	Swap	C'est la première fois depuis un demi-siècle qu'un Allemand redeviendrait le chef d'une administration bruxelloise.	Swap: 'Deutscher' with 'Belgier'	PER	PROPN	0	Zum ersten Mal seit einem halben Jahrhundert wäre damit wieder ein Deutscher der oberste Chef der Brüsseler Behörde.	Zum ersten Mal seit einem halben Jahrhundert wäre damit wieder ein Belgier der oberste Chef der Brüsseler Behörde.	de_adv1	161
wmt19	Swap	C'est la première fois depuis un demi-siècle qu'un Allemand redeviendrait le chef d'une administration bruxelloise.	Swap: 'oberste' with 'unterste'		ADJ	0	Zum ersten Mal seit einem halben Jahrhundert wäre damit wieder ein Deutscher der oberste Chef der Brüsseler Behörde.	Zum ersten Mal seit einem halben Jahrhundert wäre damit wieder ein Deutscher der unterste Chef der Brüsseler Behörde.	de_adv2	161
wmt19	Swap	C'est la première fois depuis un demi-siècle qu'un Allemand redeviendrait le chef d'une administration bruxelloise.	Swap: 'ersten' with 'letzten'		ADJ	0	Zum ersten Mal seit einem halben Jahrhundert wäre damit wieder ein Deutscher der oberste Chef der Brüsseler Behörde.	Zum letzten Mal seit einem halben Jahrhundert wäre damit wieder ein Deutscher der oberste Chef der Brüsseler Behörde.	de_adv4	161
wmt19	Swap	Le PPE n'a pas oublié comment les conservateurs britanniques ont quitté la famille parlementaire conservatrice il y a dix ans.	Swap: 'verließen' with 'unterstützten'		VERB	0	"In der EVP ist unvergessen, dass die britischen Konservativen vor zehn Jahren die konservative Parteienfamilie verließen."	"In der EVP ist unvergessen, dass die britischen Konservativen vor zehn Jahren die konservative Parteienfamilie unterstützten."	de_adv4	175
wmt19	Swap	Weber ne veut pas prendre le risque d'une dégradation supplémentaire de l'UE à laquelle le Fidesz aurait aujourd'hui une part non négligeable.	Swap: 'riskieren' with 'verhindern'		VERB	0	"Einen weiteren Zerfall der EU, an dem diesmal die Fidesz maßgeblich beteiligt wäre, will Weber nicht riskieren."	"Einen weiteren Zerfall der EU, an dem diesmal die Fidesz maßgeblich beteiligt wäre, will Weber nicht verhindern."	de_adv4	177
wmt19	Swap	Cela fait des semaines qu'il sillonne l'Europe pour sa campagne pré-électorale.	Swap: 'EU' with 'USA'	ORG	PROPN	0	Schon seit Wochen reist er in seinem Vorwahlkampf durch die EU.	Schon seit Wochen reist er in seinem Vorwahlkampf durch die USA.	de_adv3	181
wmt19	Swap	Un ajout qui va très certainement dans le sens d'Angela Merkel.	Swap: 'Zusatz' with 'Schatz'		NOUN	0	Der Zusatz dürfte im Sinne von Angela Merkel sein.	Der Schatz dürfte im Sinne von Angela Merkel sein.	de_adv1	188
wmt19	Swap	Un ajout qui va très certainement dans le sens d'Angela Merkel.	Swap: 'Merkel' with 'Merkels'	PER	PROPN	1	Der Zusatz dürfte im Sinne von Angela Merkel sein.	Der Zusatz dürfte im Sinne von Angela Merkels sein.	de_adv2	188
wmt19	Swap	Un ajout qui va très certainement dans le sens d'Angela Merkel.	Swap: 'Sinne' with 'Sinnen'		NOUN	1	Der Zusatz dürfte im Sinne von Angela Merkel sein.	Der Zusatz dürfte im Sinnen von Angela Merkel sein.	de_adv3	188
wmt19	Swap	Un ajout qui va très certainement dans le sens d'Angela Merkel.	Swap: 'Zusatz' with 'Gesatz'		NOUN	0	Der Zusatz dürfte im Sinne von Angela Merkel sein.	Der Gesatz dürfte im Sinne von Angela Merkel sein.	de_adv4	188
wmt19	Swap	"C'est lors de la coupe du monde de football, en 2006, qu'on a vu des drapeaux noir-rouge-or en Allemagne pour la première fois."	Swap: 'Deutschland' with 'Spanien'	LOC	PROPN	0	Erstmals bei der Fußball-WM 2006 sah man in Deutschland schwarz-rot-goldene Fahnen.	Erstmals bei der Fußball-WM 2006 sah man in Spanien schwarz-rot-goldene Fahnen.	de_adv3	202
wmt19	Swap	"Maintenant, le climat pro-européen en Allemagne est aussi clairement plus fort que dans les autres pays."	Swap: 'pro-europäische' with 'anti-europäische'		ADJ	0	Auch heute ist die pro-europäische Grundstimmung in Deutschland deutlich stärker als in anderen Ländern.	Auch heute ist die anti-europäische Grundstimmung in Deutschland deutlich stärker als in anderen Ländern.	de_adv1	203
wmt19	Swap	"Maintenant, le climat pro-européen en Allemagne est aussi clairement plus fort que dans les autres pays."	Swap: 'Auch' with 'Nur'		ADV	0	Auch heute ist die pro-europäische Grundstimmung in Deutschland deutlich stärker als in anderen Ländern.	Nur heute ist die pro-europäische Grundstimmung in Deutschland deutlich stärker als in anderen Ländern.	de_adv3	203
wmt19	Swap	"Dans le reste de l'UE, dans les 26 pays le vote est tendanciellement similaire mais pas aussi fort."	"Swap: 'gleich,' with 'verschieden,'"		ADV	0	"Im Rest der EU, also in den 26, ist das Votum tendenziell gleich, aber nicht so stark."	"Im Rest der EU, also in den 26, ist das Votum tendenziell verschieden, aber nicht so stark."	de_adv2	205
wmt19	Swap	"Dans le reste de l'UE, dans les 26 pays le vote est tendanciellement similaire mais pas aussi fort."	"Swap: '26,' with '25,'"		NUM	0	"Im Rest der EU, also in den 26, ist das Votum tendenziell gleich, aber nicht so stark."	"Im Rest der EU, also in den 25, ist das Votum tendenziell gleich, aber nicht so stark."	de_adv3	205
wmt19	Swap	61 pourcent des européens ont l'impression que la globalisation serait une chance pour la croissance économique.	Swap: 'Chance' with 'Bedrohung'		NOUN	0	"61 Prozent aller Europäer haben den Eindruck, dass die Globalisierung eine Chance für wirtschaftliches Wachstum sei."	"61 Prozent aller Europäer haben den Eindruck, dass die Globalisierung eine Bedrohung für wirtschaftliches Wachstum sei."	de_adv1	207
wmt19	Swap	61 pourcent des européens ont l'impression que la globalisation serait une chance pour la croissance économique.	Swap: 'Europäer' with 'Asiaten'		NOUN	0	"61 Prozent aller Europäer haben den Eindruck, dass die Globalisierung eine Chance für wirtschaftliches Wachstum sei."	"61 Prozent aller Asiaten haben den Eindruck, dass die Globalisierung eine Chance für wirtschaftliches Wachstum sei."	de_adv2	207
wmt19	Swap	61 pourcent des européens ont l'impression que la globalisation serait une chance pour la croissance économique.	Swap: 'Globalisierung' with 'Digitalisierung'		NOUN	0	"61 Prozent aller Europäer haben den Eindruck, dass die Globalisierung eine Chance für wirtschaftliches Wachstum sei."	"61 Prozent aller Europäer haben den Eindruck, dass die Digitalisierung eine Chance für wirtschaftliches Wachstum sei."	de_adv3	207
wmt19	Swap	61 pourcent des européens ont l'impression que la globalisation serait une chance pour la croissance économique.	Swap: 'wirtschaftliches' with 'ökologisches'		ADJ	0	"61 Prozent aller Europäer haben den Eindruck, dass die Globalisierung eine Chance für wirtschaftliches Wachstum sei."	"61 Prozent aller Europäer haben den Eindruck, dass die Globalisierung eine Chance für ökologisches Wachstum sei."	de_adv4	207
wmt19	Swap	"La largeur d'esprit au sein de l'UE, le droit par dessus tout, de vivre, étudier et pouvoir travailler, est en première position."	Swap: 'Freizügigkeit' with 'Einschränkung'		NOUN	0	"Die Freizügigkeit innerhalb der EU, das Recht, überall leben, studieren und arbeiten zu können, nimmt eine Spitzenposition ein."	"Die Einschränkung innerhalb der EU, das Recht, überall leben, studieren und arbeiten zu können, nimmt eine Spitzenposition ein."	de_adv1	211
wmt19	Swap	"La largeur d'esprit au sein de l'UE, le droit par dessus tout, de vivre, étudier et pouvoir travailler, est en première position."	Swap: 'innerhalb' with 'außerhalb'		ADP	0	"Die Freizügigkeit innerhalb der EU, das Recht, überall leben, studieren und arbeiten zu können, nimmt eine Spitzenposition ein."	"Die Freizügigkeit außerhalb der EU, das Recht, überall leben, studieren und arbeiten zu können, nimmt eine Spitzenposition ein."	de_adv3	211
wmt19	Swap	84 pourcent des Allemands et 69 pourcent de tous les européens trouvent qu'une politique commune d'immigration est favorable.	Swap: 'wünschenswert' with 'abstoßend'		ADJ	0	Eine gemeinsame Einwanderungspolitik finden 84 Prozent der Deutschen und 69 Prozent aller Europäer wünschenswert.	Eine gemeinsame Einwanderungspolitik finden 84 Prozent der Deutschen und 69 Prozent aller Europäer abstoßend.	de_adv1	213
wmt19	Swap	84 pourcent des Allemands et 69 pourcent de tous les européens trouvent qu'une politique commune d'immigration est favorable.	Swap: 'wünschenswert' with 'unerreichbar'		ADJ	0	Eine gemeinsame Einwanderungspolitik finden 84 Prozent der Deutschen und 69 Prozent aller Europäer wünschenswert.	Eine gemeinsame Einwanderungspolitik finden 84 Prozent der Deutschen und 69 Prozent aller Europäer unerreichbar.	de_adv4	213
wmt19	Swap	Le politicien CDU Elmar Brok est depuis 38 ans élu au Parlement européen.	Swap: 'Europaparlament' with 'Bundestag'	ORG	PROPN	0	Der CDU-Politiker Elmar Brok sitzt seit 38 Jahren im Europaparlament.	Der CDU-Politiker Elmar Brok sitzt seit 38 Jahren im Bundestag.	de_adv1	223
wmt19	Swap	Le politicien CDU Elmar Brok est depuis 38 ans élu au Parlement européen.	Swap: 'CDU-Politiker' with 'SPD-Politiker'	PER	PROPN	0	Der CDU-Politiker Elmar Brok sitzt seit 38 Jahren im Europaparlament.	Der SPD-Politiker Elmar Brok sitzt seit 38 Jahren im Europaparlament.	de_adv2	223
wmt19	Swap	Le politicien CDU Elmar Brok est depuis 38 ans élu au Parlement européen.	Swap: 'Jahren' with 'Minuten'		NOUN	0	Der CDU-Politiker Elmar Brok sitzt seit 38 Jahren im Europaparlament.	Der CDU-Politiker Elmar Brok sitzt seit 38 Minuten im Europaparlament.	de_adv4	223
wmt19	Swap	"Mais dans le cas du Brexit, il y a encore beaucoup d'incertitudes."	Swap: 'Brexit' with 'Stricken'		NOUN	0	Aber es gibt beim Brexit immer noch zu viele lose Enden.	Aber es gibt beim Stricken immer noch zu viele lose Enden.	de_adv1	231
wmt19	Swap	"Mais dans le cas du Brexit, il y a encore beaucoup d'incertitudes."	Swap: 'Enden' with 'Hände'		NOUN	0	Aber es gibt beim Brexit immer noch zu viele lose Enden.	Aber es gibt beim Brexit immer noch zu viele lose Hände.	de_adv2	231
wmt19	Swap	"Mais dans le cas du Brexit, il y a encore beaucoup d'incertitudes."	Swap: 'es' with 'sie'		PRON	0	Aber es gibt beim Brexit immer noch zu viele lose Enden.	Aber sie gibt beim Brexit immer noch zu viele lose Enden.	de_adv4	231
wmt19	Swap	"Il faut désormais tout miser sur le fait que la chambre basse, en Grande-Bretagne, parviendra à une majorité en faveur d'un accord de retrait de l'UE."	"Swap: 'setzen,' with 'bestehen,'"		VERB	0	"Wir müssen jetzt darauf setzen, dass in Großbritannien im Unterhaus eine Mehrheit für das Austrittsabkommen mit der EU zu Stande kommt."	"Wir müssen jetzt darauf bestehen, dass in Großbritannien im Unterhaus eine Mehrheit für das Austrittsabkommen mit der EU zu Stande kommt."	de_adv3	232
wmt19	Swap	"Dans ce cas, les Britanniques devraient participer aux décisions du Parlement européen concernant la future Commission de l'UE et le prochain plan-cadre financier européen."	Swap: 'Briten' with 'Deutschen'		NOUN	0	Dann würden die Briten im Europaparlament auch über die künftige EU-Kommission und den nächsten europäischen Finanzrahmen mitentscheiden.	Dann würden die Deutschen im Europaparlament auch über die künftige EU-Kommission und den nächsten europäischen Finanzrahmen mitentscheiden.	de_adv1	240
